Rating Category,Rating Method,Value
One,Site Rating,41
One,Senti Score,0
Two,Site Rating,15
Two,Senti Score,35
Three,Site Rating,17
Three,Senti Score,28
Four,Site Rating,45
Four,Senti Score,134
Five,Site Rating,83
Five,Senti Score,4
