Rating Category,Rating Method,Value
One,Site Rating,21
One,Senti Score,0
Two,Site Rating,10
Two,Senti Score,12
Three,Site Rating,15
Three,Senti Score,28
Four,Site Rating,42
Four,Senti Score,108
Five,Site Rating,68
Five,Senti Score,8
