Rating Category,Rating Method,Value
One,Site Rating,45
One,Senti Score,0
Two,Site Rating,5
Two,Senti Score,29
Three,Site Rating,17
Three,Senti Score,29
Four,Site Rating,37
Four,Senti Score,133
Five,Site Rating,96
Five,Senti Score,9
