"","rating_df.i...Mobile..","rating_df.i...Rating..","rating_df.i...Date..","rating_df.i...Review..","rating_df.i...Rating_Month..","rating_df.i...Rating_Year..","audio_var","battery_var","camera_var","design_var","fingerprint_var","memory_var","os_var","performance_var","others_var"
"1","oneplus6T",2,"04-Nov-18","camera quality unto mark i visited one plus store store representative checked phone compared camera quality demo phone he noticed significant difference two i request amazon replace phone new one evident phone problems","Nov","2018","","","Yes","","","","","",""
"2","oneplus6T",1,"04-Nov-18"," the battery lasts max hours major application working upper side screen camera quality poor audio output earphone poor earphone works phone excellent while call unable drop notification window video quality poor compared less price phones i applied replacement going take replacement worst product","Nov","2018","Yes","Yes","Yes","Yes","","","","Yes","Yes"
