Attribute,,,TFIDF
cannot,1,1,5.298317367
cant,5,7,16.76203609
capability,1,1,5.298317367
capacity,1,1,5.298317367
capture,4,3,16.79882031
captures,1,1,5.298317367
car,3,20,6.907755279
card,8,7,26.81925774
cards,1,1,5.298317367
care,3,7,10.05722165
careful,3,3,12.59911523
careless,1,1,5.298317367
carry,4,5,14.75551782
carrying,1,1,5.298317367
case,12,12,33.7609286
cases,1,1,5.298317367
cash,4,1,21.19326947
cast,1,2,4.605170186
casting,1,1,5.298317367
category,2,2,9.210340372
caught,1,1,5.298317367
cause,1,3,4.199705078
causing,2,2,9.210340372
celebrating,1,1,5.298317367
cell,5,19,11.76939194
cellular,1,1,5.298317367
center,17,19,40.01593259
centers,4,4,15.64809202
CEO,1,1,5.298317367
certain,2,4,7.824046011
certificate,1,1,5.298317367
challenge,2,3,8.399410156
challenges,1,1,5.298317367
chances,1,1,5.298317367
change,2,8,6.43775165
changed,2,2,9.210340372
changer,1,1,5.298317367
changes,2,2,9.210340372
changing,3,6,10.51967369
charge,51,58,63.13159216
charged,3,3,12.59911523
charger,23,15,59.57614481
charges,10,10,29.95732274
charging,57,43,87.6156833
charm,4,5,14.75551782
charming,1,1,5.298317367
chartered,1,1,5.298317367
charts,1,1,5.298317367
chased,1,8,3.218875825
cheap,2,3,8.399410156
cheaper,1,1,5.298317367
check,6,6,21.03934738
cheers,1,1,5.298317367
chi,3,16,7.577185933
china,1,1,5.298317367
Chinese,11,5,40.577674
chip,3,3,12.59911523
choice,5,4,19.56011503
choose,1,1,5.298317367
city,1,2,4.605170186
claim,1,2,4.605170186
claimed,1,1,5.298317367
clarity,6,6,21.03934738
class,4,8,12.8755033
classy,4,4,15.64809202
clear,2,3,8.399410156
clearer,1,1,5.298317367
clicking,1,1,5.298317367
clip,1,1,5.298317367
close,1,4,3.912023005
closed,2,2,9.210340372
clue,2,1,10.59663473
coated,1,1,5.298317367
coating,2,2,9.210340372
code,1,1,5.298317367
cola,1,1,5.298317367
collaborate,1,1,5.298317367
color,10,11,29.00422094
